,scGPT_scMulan,scGPT_UCE,scGPT_scFoundation,scGPT_Geneformer,scMulan_UCE,scMulan_scFoundation,scMulan_Geneformer,UCE_scFoundation,UCE_Geneformer,scFoundation_Geneformer,donor
326,0.953643711002377,0.9326619903960645,0.9104981613516511,0.8780034389447586,0.9819009295752129,0.9333898665479525,0.9403238928247053,0.9338366965621906,0.9577741329630692,0.9106982545705636,M24508
327,0.9408753780904544,0.9537430724273392,0.9010617891063138,0.8992793359314987,0.9779475297588628,0.9235160467186201,0.9411090799737307,0.9315660593622641,0.9511135118823191,0.916055264715599,M15627
328,0.9599621105762705,0.9551023219125302,0.9188550928142335,0.8959469912402869,0.9862879905786138,0.9404643879623448,0.9412303558317873,0.9368907834718633,0.9500589494685192,0.9157529186398319,M27500
329,0.9756365511598409,0.9839702319218053,0.882950725820704,0.8643718903741335,0.9869871665467896,0.9265509109888564,0.91233837373928,0.9175376889994212,0.9048615652569303,0.9306807788365937,M53938
330,0.9637677952694199,0.9689336662844767,0.9053738122414179,0.9065569398671146,0.9853460620689408,0.9298148632681217,0.9360757326705031,0.9337325770591048,0.9418893027306092,0.9212179935570245,M29270
331,0.9461099204507335,0.9439129489455441,0.8905939665534284,0.8729083993602202,0.9858004063735475,0.9374213225169945,0.9386141680056457,0.93507705203325,0.9440324219967627,0.9148001941914216,M153
332,0.9740893132700383,0.9825384424046343,0.8882650771827714,0.8827029473926388,0.9828324503086594,0.9075448299943911,0.9087650594450897,0.9159572996179022,0.9158462061641679,0.9249181257837783,M8694
333,0.9539639042069133,0.946430564910575,0.9084775630853261,0.8888693487656553,0.9820000781327027,0.9246404396937725,0.9363680999716071,0.9344982375233529,0.953002245822027,0.9083982003464394,M899297
334,0.9652461115211126,0.9697810043682787,0.8699216009884878,0.8543761210736638,0.9858247672409103,0.9172010650223363,0.909167031319522,0.9158930238972225,0.9091065798594817,0.9216034248126833,M22156
335,0.9499988896089506,0.9310178717662205,0.9212174273315864,0.8762510508899797,0.9812043586873007,0.9312152122260255,0.9390640634520336,0.9295762944709709,0.9568191527741542,0.9037678406776138,M77740
336,0.9483480034131663,0.9375848837947343,0.9069422152560138,0.8729045210956996,0.9825970050233666,0.9272465137386755,0.9348157779651027,0.9309819325669678,0.9502015038815146,0.9057170719614865,M54396
337,0.9587828235789319,0.952041717442366,0.9191165846330643,0.8958282741798731,0.9859012347248441,0.935194150469022,0.9424630351314351,0.9387842415440393,0.9543017954208409,0.917067327090131,M31323
338,0.9573913889222261,0.9476903394299252,0.9051997697412474,0.8903828123737914,0.984809986722815,0.9261655194109674,0.9385178376162947,0.9297836260405007,0.9499916406487992,0.9078768675863597,M10874
339,0.9620509392846113,0.9640792130919698,0.9034995152993954,0.8810767714086958,0.9860150963488513,0.9405254526074258,0.9303566834309571,0.9345373532395711,0.9314568742902228,0.9201198680476145,M12249
340,0.9656895431468486,0.964309763377792,0.9190231405225295,0.9044299749905615,0.9870134339592904,0.9371918501795459,0.941095050875669,0.9368095871815122,0.9472449233750719,0.9152569790787513,M82573
341,0.9308296512109946,0.9256008612949027,0.9082831272199178,0.8728142096662582,0.9758980936137271,0.9282039826520946,0.937411487483381,0.9325320533589879,0.957301947967018,0.9033026239566934,M33636
342,0.9638356079395664,0.956319951610796,0.8957809312342119,0.8777656378776572,0.9881450886244982,0.9314635712281529,0.9295815736109658,0.9359909447752648,0.9374540276405123,0.917329292848147,M28167
343,0.9584926677186444,0.9428512109033071,0.9139056980796855,0.88284738687718,0.9844641605186076,0.9330260153868614,0.9358379515417693,0.9325642562900593,0.9516297250413749,0.9062311907741221,M68895
344,0.9404121677882694,0.9408585671590244,0.913144889876887,0.8842730516881068,0.9805131142824294,0.9335648818763891,0.9406578434000524,0.932251379571423,0.9492102517129045,0.9096485597308206,M22921
345,0.9509834755077742,0.9270089261383787,0.9054945390754446,0.8680987518391726,0.9806065259132021,0.9251344754402737,0.9337525511065862,0.9277917810234849,0.957526620301208,0.8951198776061952,M46292
346,0.9771116705772389,0.9805284857161536,0.872056166439986,0.8701889817108653,0.9846579093460355,0.9154489300465031,0.9138816581545598,0.913558843570279,0.9149997263182601,0.9267029221340966,M6362
347,0.9558468876426294,0.9467493275139582,0.92315088966561,0.8782422127621707,0.9848224286995968,0.9341917848660186,0.9383093069573208,0.93462388185188,0.9502374005540922,0.9101119855540787,M40820
348,0.9708162340136232,0.9696023816739041,0.914474760902808,0.8932910134724147,0.9872722140448468,0.9384910495946079,0.9297668609457025,0.9343080684394095,0.9303971917762429,0.9187437825761681,M90365
349,0.9488642970925717,0.9307994177099573,0.9125121920756345,0.8647218632056342,0.9822601489896154,0.9233250439344726,0.9336193878094561,0.9242476681558415,0.9505788550045885,0.8936726361329435,M20588
350,0.9621471112788884,0.95742866034357,0.9041475252944281,0.8963902113700175,0.9858786138999345,0.9333930626916364,0.93585216562845,0.9439856041584163,0.9485905310964309,0.9280287826981802,M34682
351,0.9576813913422697,0.950211932798463,0.9084772680132445,0.8964793921154222,0.9836380815800347,0.9342187088787693,0.9400545711708093,0.9373850248473222,0.9518394477335173,0.9192086763676084,M439
352,0.9588759630902021,0.9658151080488446,0.921958141576087,0.8924837179986922,0.9839617643678893,0.9397626997384088,0.9324892242856797,0.9323723621075621,0.9301018950172163,0.9181488645860778,M36915
353,0.971667800841577,0.9674409850774272,0.9142960641429577,0.89432476973727,0.9872952185149364,0.9343850532699574,0.9313100463822841,0.9297571047258553,0.929517959593544,0.9169769842148768,M61631
354,0.9557671263906222,0.9338713768872361,0.9042321568657611,0.8618699920479949,0.9842592053941097,0.9370041943296556,0.9305975472439927,0.9368548108351722,0.9503152855421484,0.9086800580104908,M21461
355,0.9704844858580698,0.9672168174642359,0.8625671506023601,0.8305620051008235,0.9851213846546463,0.9198532394847069,0.8970326618105047,0.921262687838136,0.8990621834418947,0.9290494640720952,M44456
356,0.9602984443638175,0.9524571541115009,0.8919229230879657,0.8812931450940882,0.9866989027503497,0.9308025383421777,0.9355016549144948,0.9350000200354651,0.945892088854749,0.9175972845463104,M89958
357,0.9629311934149181,0.9436438746898084,0.913838709803552,0.881575866713158,0.9844427050164452,0.9372590007861932,0.9351755813240217,0.9382257958799755,0.9517342527811323,0.911710517062419,M9207
